epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.44291,1.04729,5.43439,1.41235,0.56596,0.85,0.85014,0.63554,1.6906,1.05711,1.39007,1.19e-06,1.19e-06,1.19e-06
2,5.0168,1.62819,3.44338,1.86435,0.55523,0.85,0.85059,0.63514,1.66138,1.04447,1.36322,3.45219e-06,3.45219e-06,3.45219e-06
3,7.8003,1.30519,2.83698,1.69665,0.55523,0.85,0.85059,0.63514,1.66138,1.04447,1.36322,5.5573e-06,5.5573e-06,5.5573e-06
4,10.8581,1.64272,3.38824,1.86418,0.55,0.85555,0.81724,0.61261,1.70126,1.0697,1.38176,7.50533e-06,7.50533e-06,7.50533e-06
5,13.461,1.15269,3.83692,1.50491,0.55,0.85555,0.81724,0.61261,1.70126,1.0697,1.38176,9.29628e-06,9.29628e-06,9.29628e-06
6,16.2998,1.44511,4.02743,1.86497,0.56633,0.86667,0.81906,0.60917,1.70278,1.08997,1.37501,1.09302e-05,1.09302e-05,1.09302e-05
7,18.9326,1.12089,2.16578,1.40282,0.56633,0.86667,0.81906,0.60917,1.70278,1.08997,1.37501,1.24069e-05,1.24069e-05,1.24069e-05
8,21.5583,1.12658,3.84538,1.5294,0.56633,0.86667,0.81906,0.60917,1.70278,1.08997,1.37501,1.37267e-05,1.37267e-05,1.37267e-05
9,23.7146,1.35683,3.33459,1.57051,0.85778,0.64828,0.87375,0.64007,1.77858,1.16003,1.42017,1.48893e-05,1.48893e-05,1.48893e-05
10,25.7148,1.13557,2.92,1.62365,0.85778,0.64828,0.87375,0.64007,1.77858,1.16003,1.42017,1.58948e-05,1.58948e-05,1.58948e-05
11,27.7881,1.22864,2.67592,1.43072,0.85778,0.64828,0.87375,0.64007,1.77858,1.16003,1.42017,1.67433e-05,1.67433e-05,1.67433e-05
12,29.7489,1.12423,2.90279,1.48638,0.85778,0.64828,0.87375,0.64007,1.77858,1.16003,1.42017,1.74347e-05,1.74347e-05,1.74347e-05
13,31.7687,1.14622,3.40123,1.45007,0.81452,0.65,0.85822,0.6075,1.82809,1.26695,1.47793,1.7969e-05,1.7969e-05,1.7969e-05
14,33.7745,1.18532,3.25876,1.55258,0.81452,0.65,0.85822,0.6075,1.82809,1.26695,1.47793,1.83462e-05,1.83462e-05,1.83462e-05
15,35.7253,1.26495,4.11729,1.48734,0.81452,0.65,0.85822,0.6075,1.82809,1.26695,1.47793,1.85664e-05,1.85664e-05,1.85664e-05
16,37.8993,1.20124,2.40461,1.47893,0.81452,0.65,0.85822,0.6075,1.82809,1.26695,1.47793,1.86295e-05,1.86295e-05,1.86295e-05
17,40.1952,1.06835,2.23914,1.30536,0.81452,0.65,0.85822,0.6075,1.82809,1.26695,1.47793,1.85354e-05,1.85354e-05,1.85354e-05
18,42.2778,1.12505,2.49733,1.53295,0.81452,0.65,0.85822,0.6075,1.82809,1.26695,1.47793,1.82844e-05,1.82844e-05,1.82844e-05
19,44.4116,1.20285,1.9568,1.41069,0.73022,0.67026,0.77466,0.5476,1.84285,1.39951,1.47474,1.78762e-05,1.78762e-05,1.78762e-05
20,46.7411,0.90186,2.3077,1.31886,0.73022,0.67026,0.77466,0.5476,1.84285,1.39951,1.47474,1.73109e-05,1.73109e-05,1.73109e-05
21,48.8615,1.14001,3.43661,1.44483,0.73022,0.67026,0.77466,0.5476,1.84285,1.39951,1.47474,1.65886e-05,1.65886e-05,1.65886e-05
22,50.9142,1.07111,2.80496,1.42167,0.73022,0.67026,0.77466,0.5476,1.84285,1.39951,1.47474,1.57092e-05,1.57092e-05,1.57092e-05
23,52.8868,0.94962,2.02151,1.30131,0.73022,0.67026,0.77466,0.5476,1.84285,1.39951,1.47474,1.46727e-05,1.46727e-05,1.46727e-05
24,54.873,1.2653,2.83402,1.74915,0.73022,0.67026,0.77466,0.5476,1.84285,1.39951,1.47474,1.34791e-05,1.34791e-05,1.34791e-05
25,56.8993,1.41851,2.8753,1.66896,0.73022,0.67026,0.77466,0.5476,1.84285,1.39951,1.47474,1.21285e-05,1.21285e-05,1.21285e-05
26,59.0069,1.47522,3.47801,1.77279,0.73022,0.67026,0.77466,0.5476,1.84285,1.39951,1.47474,1.06207e-05,1.06207e-05,1.06207e-05
27,61.2629,1.19727,3.91624,1.72272,0.7188,0.68333,0.76682,0.52586,1.85983,1.47855,1.48057,8.95594e-06,8.95594e-06,8.95594e-06
28,63.4201,0.89028,2.22406,1.12808,0.7188,0.68333,0.76682,0.52586,1.85983,1.47855,1.48057,7.13405e-06,7.13405e-06,7.13405e-06
29,65.3611,1.03417,2.68076,1.43457,0.7188,0.68333,0.76682,0.52586,1.85983,1.47855,1.48057,5.15508e-06,5.15508e-06,5.15508e-06
30,67.3613,0.88825,2.33946,1.33462,0.7188,0.68333,0.76682,0.52586,1.85983,1.47855,1.48057,3.01903e-06,3.01903e-06,3.01903e-06
